,Oxygen_Consumption_Studies
156,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2085&GenusName=Gnathonemus&SpeciesName=petersii&fc=40&stockcode=2280
157,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4478&GenusName=Gobio&SpeciesName=gobio&fc=122&stockcode=4676
158,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7216&GenusName=Gobiodon&SpeciesName=histrio&fc=405&stockcode=7355
159,https://www.fishbase.de/physiology/OxygenDataList.php?ID=59655&GenusName=Gobionotothen&SpeciesName=angustifrons&fc=382&stockcode=49386
160,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7041&GenusName=Gobionotothen&SpeciesName=gibberifrons&fc=382&stockcode=7380
161,https://www.fishbase.de/physiology/OxygenDataList.php?ID=73&GenusName=Gobius&SpeciesName=paganellus&fc=405&stockcode=82
162,https://www.fishbase.de/physiology/OxygenDataList.php?ID=3131&GenusName=Gymnelus&SpeciesName=viridis&fc=188&stockcode=3327
163,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4092&GenusName=Gymnocanthus&SpeciesName=tricuspis&fc=277&stockcode=4288
164,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4474&GenusName=Gymnocephalus&SpeciesName=cernua&fc=306&stockcode=4672
165,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7101&GenusName=Gymnodraco&SpeciesName=acuticeps&fc=383&stockcode=7483
166,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6989&GenusName=Gymnoscopelus&SpeciesName=braueri&fc=167&stockcode=7491
167,https://www.fishbase.de/physiology/OxygenDataList.php?ID=6991&GenusName=Gymnoscopelus&SpeciesName=opisthopterus&fc=167&stockcode=7501
168,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4858&GenusName=Halichoeres&SpeciesName=melanurus&fc=362&stockcode=5088
169,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5356&GenusName=Haplochromis&SpeciesName=elegans&fc=349&stockcode=5594
170,https://www.fishbase.de/physiology/OxygenDataList.php?ID=7090&GenusName=Harpagifer&SpeciesName=georgianus&fc=480&stockcode=7471
171,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2389&GenusName=Hemichromis&SpeciesName=bimaculatus&fc=349&stockcode=2583
172,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4885&GenusName=Heteropneustes&SpeciesName=fossilis&fc=140&stockcode=5116
173,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1801&GenusName=Hippocampus&SpeciesName=hippocampus&fc=258&stockcode=1997
174,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4239&GenusName=Hippoglossoides&SpeciesName=platessoides&fc=440&stockcode=4435
175,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5305&GenusName=Hoplerythrinus&SpeciesName=unitaeniatus&fc=103&stockcode=5544
176,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4757&GenusName=Hoplias&SpeciesName=malabaricus&fc=103&stockcode=4981
177,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2067&GenusName=Huso&SpeciesName=huso&fc=32&stockcode=2262
178,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2775&GenusName=Hybognathus&SpeciesName=nuchalis&fc=122&stockcode=2971
179,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2574&GenusName=Hypanus&SpeciesName=sabinus&fc=20&stockcode=2770
180,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4107&GenusName=Icelus&SpeciesName=bicornis&fc=277&stockcode=4303
181,https://www.fishbase.de/physiology/OxygenDataList.php?ID=4108&GenusName=Icelus&SpeciesName=spatula&fc=277&stockcode=4304
182,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2516&GenusName=Ichthyomyzon&SpeciesName=fossor&fc=1&stockcode=2712
