,Species_for_which_disease_information_is_available
329,https://www.fishbase.de/Diseases/diseasesList.php?ID=9739&StockCode=10062
330,https://www.fishbase.de/Diseases/diseasesList.php?ID=9758&StockCode=10081
331,https://www.fishbase.de/Diseases/diseasesList.php?ID=9789&StockCode=10111
332,https://www.fishbase.de/Diseases/diseasesList.php?ID=2473&StockCode=2667
333,https://www.fishbase.de/Diseases/diseasesList.php?ID=3191&StockCode=3387
334,https://www.fishbase.de/Diseases/diseasesList.php?ID=69&StockCode=8484
335,https://www.fishbase.de/Diseases/diseasesList.php?ID=69&StockCode=79
336,https://www.fishbase.de/Diseases/diseasesList.php?ID=69&StockCode=8485
337,https://www.fishbase.de/Diseases/diseasesList.php?ID=8426&StockCode=8740
338,https://www.fishbase.de/Diseases/diseasesList.php?ID=7579&StockCode=7883
339,https://www.fishbase.de/Diseases/diseasesList.php?ID=47142&StockCode=39692
340,https://www.fishbase.de/Diseases/diseasesList.php?ID=56692&StockCode=46630
341,https://www.fishbase.de/Diseases/diseasesList.php?ID=56693&StockCode=46631
342,https://www.fishbase.de/Diseases/diseasesList.php?ID=3215&StockCode=3411
343,https://www.fishbase.de/Diseases/diseasesList.php?ID=27649&StockCode=21621
344,https://www.fishbase.de/Diseases/diseasesList.php?ID=27744&StockCode=21688
345,https://www.fishbase.de/Diseases/diseasesList.php?ID=4462&StockCode=4660
346,https://www.fishbase.de/Diseases/diseasesList.php?ID=8710&StockCode=9031
347,https://www.fishbase.de/Diseases/diseasesList.php?ID=4751&StockCode=4975
348,https://www.fishbase.de/Diseases/diseasesList.php?ID=12372&StockCode=12701
