Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
standard*,hypoxia*,461.2760667903527,222.99820788530465,2.0036496350364965,12.532437275985664,175.90116487455205,Oncorhynchus mykiss
standard*,none specified*,479.7892473118278,273.01075268817203,0.0,14.082795698924732,151.79150537634408,Oncorhynchus nerka
routine,none specified,246.6,172.0,0.0,16.0,26.0,Oncorhynchus tshawytscha
routine,none specified,60.8,11.0,35.0,5.0,4.2,Oneirodes acanthias
standard*,none specified,87.08125000000001,41.6875,34.142857142857146,12.181249999999999,3457.5625,Ophiodon elongatus
routine,none specified,400.0,400.0,,20.0,325.0,Opsanus tau
standard*,none specified*,41.1,87.5,0.0,30.333333333333332,697.0,Oreochromis aureus
routine*,none specified*,181.90898203592812,287.9318181818182,0.0,27.55909090909094,39.66500000000005,Oreochromis mossambicus
routine*,hypoxia*,134.67799999999997,202.44230769230768,5.84,25.615384615384617,109.07750000000001,Oreochromis niloticus
standard,hypoxia*,84.04090909090908,92.81818181818181,0.0,20.0,626.0909090909091,Orthodon microlepidotus
routine,none specified,434.63050847457646,656.9661016949152,0.0,25.0,0.2610169491525423,Oryzias latipes
routine,none specified*,48.35,93.0,0.0,28.0,12.5,Osphronemus goramy
standard,,79.4,179.0,,30.0,7.0,Ostorhinchus compressus
standard,,114.8,259.0,,30.0,2.2,Ostorhinchus cyanosoma
standard,,127.7,288.0,,30.0,4.4,Ostorhinchus doederleini
routine,,,24.0,,0.0,76.0,Pagetopsis macropterus
standard*,,,44.666666666666664,,-0.13333333333333333,81.71666666666667,Pagothenia borchgrevinki
standard,,215.4,486.0,,30.0,1.7,Paramonacanthus japonicus
routine,,477.9,95.0,,4.05,200.0,Paranotothenia magellanica
routine,,70.0,13.0,,5.0,16.0,Parascorpaena aurita
routine,none specified,157.8,100.0,,15.0,70.0,Parophrys vetulus
routine,none specified,91.2,17.0,35.0,5.0,9.4,Parvilux ingens
routine,hypoxia,747.5350000000001,777.6,0.0,18.990000000000002,3.4610000000000007,Perca flavescens
routine,none specified,216.65882352941176,185.52941176470588,0.0,17.935294117647057,36.502352941176476,Perca fluviatilis
active,none specified,842.5,1083.0,0.0,23.0,4.7,Percina caprodes
routine,hypoxia,50.3,50.0,0.0,20.0,5.3,Pethia ticto
standard*,none specified,240.78571428571428,201.71428571428572,0.0,16.142857142857142,25.679999999999996,Petromyzon marinus
routine*,none specified*,532.8555555555555,500.8888888888889,0.0,19.644444444444446,1.5144444444444445,Pimephales promelas
active,none specified,874.0,1123.5,0.0,23.0,4.9,Pimephales vigilax
standard*,none specified*,189.43653846153848,357.1864406779661,17.5,25.203389830508474,38.07288135593219,Planiliza macrolepis
standard*,none specified*,157.0111111111111,64.94736842105263,25.181818181818183,10.473684210526315,266.3157894736842,Platichthys flesus
standard*,none specified,85.3695652173913,46.391304347826086,34.27272727272727,12.95217391304348,1213.0478260869565,Platichthys stellatus
routine,none specified,873.7,801.0,0.0,19.0,10.7,Plecoglossus altivelis
standard*,hypoxia*,409.72,175.34234234234233,34.46666666666667,12.0,158.79099099099102,Pleuronectes platessa
routine,none specified*,202.29285714285717,251.35714285714286,19.0,24.285714285714285,3.2457142857142856,Poecilia latipinna
routine*,hypoxia*,546.9808510638297,557.5106382978723,0.0,20.127659574468087,0.2229787234042551,Poecilia reticulata
standard,none specified,,44.0,,-1.0,47.0,Pogonophryne scotti
routine,none specified,298.1,261.5,,18.5,512.5,Pollachius pollachius
