,Relationship_Between_Fish_Brain_Weights_And_Body_Weights
166,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6580&GenusName=Bodianus&SpeciesName=bilunulatus&fc=362
167,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5500&GenusName=Bodianus&SpeciesName=diana&fc=362
168,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12744&GenusName=Bodianus&SpeciesName=loxozonus&fc=362
169,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7734&GenusName=Bodianus&SpeciesName=perditio&fc=362
170,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15864&GenusName=Boleophthalmus&SpeciesName=pectinirostris&fc=405
171,https://www.fishbase.de/physiology/BrainsDataList.php?ID=203&GenusName=Boops&SpeciesName=boops&fc=330
172,https://www.fishbase.de/physiology/BrainsDataList.php?ID=319&GenusName=Boreogadus&SpeciesName=saida&fc=183
173,https://www.fishbase.de/physiology/BrainsDataList.php?ID=14480&GenusName=Bostrychus&SpeciesName=sinensis&fc=404
174,https://www.fishbase.de/physiology/BrainsDataList.php?ID=10825&GenusName=Boulengeromyrus&SpeciesName=knoepffleri&fc=40
175,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5892&GenusName=Brachaelurus&SpeciesName=waddi&fc=495
176,https://www.fishbase.de/physiology/BrainsDataList.php?ID=26847&GenusName=Brachygobius&SpeciesName=sua&fc=405
177,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12222&GenusName=Brachyhypopomus&SpeciesName=brevirostris&fc=546
178,https://www.fishbase.de/physiology/BrainsDataList.php?ID=391&GenusName=Brama&SpeciesName=brama&fc=319
179,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5207&GenusName=Brevimyrus&SpeciesName=niger&fc=40
180,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5208&GenusName=Brienomyrus&SpeciesName=brachyistius&fc=40
181,https://www.fishbase.de/physiology/BrainsDataList.php?ID=51&GenusName=Brosme&SpeciesName=brosme&fc=505
182,https://www.fishbase.de/physiology/BrainsDataList.php?ID=486&GenusName=Brotula&SpeciesName=barbata&fc=186
183,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7297&GenusName=Brotula&SpeciesName=multibarbata&fc=186
184,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7205&GenusName=Bryaninops&SpeciesName=natans&fc=405
185,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11792&GenusName=Butis&SpeciesName=amboinensis&fc=404
186,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8035&GenusName=Butis&SpeciesName=butis&fc=404
187,https://www.fishbase.de/physiology/BrainsDataList.php?ID=818&GenusName=Bythaelurus&SpeciesName=dawsoni&fc=10
188,https://www.fishbase.de/physiology/BrainsDataList.php?ID=918&GenusName=Caesio&SpeciesName=caerulaurea&fc=459
189,https://www.fishbase.de/physiology/BrainsDataList.php?ID=919&GenusName=Caesio&SpeciesName=cuning&fc=459
190,https://www.fishbase.de/physiology/BrainsDataList.php?ID=9925&GenusName=Caffrogobius&SpeciesName=caffer&fc=405
