name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Alosa aestivalis,,,,,,,"['Hippoglossus hippoglossus', 'Cynoscion regalis', 'Squalus acanthias', 'Morone saxatilis', 'Pomatomus saltator']"
Alosa agone,,,,,,,
Alosa alabamae,,,,,,,
Alosa algeriensis,,,,,,,
Alosa alosa,430.0,23.0,50.0,,,725.0,
Alosa braschnikowi,,,,,,,['Alosa brashnikovi']
Alosa caspia,234.0,,,,,84.0,['Silurus glanis']
Alosa chrysochloris,,,,,,,
Alosa curensis,,,,,,,
Alosa fallax,452.0,36.0,42.0,,,600.0,
Alosa immaculata,420.66666666666674,27.5,,,,335.0,
Alosa kessleri,,,,,,,
Alosa killarnensis,,,,,,,
Alosa macedonica,,,,,,,
Alosa maeotica,,,,,,,
Alosa mediocris,,,,,,,
Alosa pseudoharengus,,,,4.73,,,"['Petromyzon marinus', 'Acanthocyclops vernalis', 'Dicyclops thomasi', 'Anguilla anguilla', 'Lophius americanus', 'Lota lota', 'Stizostedion vitreum', 'Oncorhynchus kisutch', 'Oncorhynchus mykiss', 'Oncorhynchus tshawytscha', 'Salvelinus namaycush', 'Cynoscion regalis', 'Squalus acanthias', 'Morone saxatilis', 'Sander vitreus', 'Pomatomus saltator']"
Alosa sapidissima,,,,,,,"['Petromyzon marinus', 'Phoca vitulina', 'Morone saxatilis', 'unidentified seal', 'Pomatomus saltator']"
Alosa saposchnikowii,,,,,,,
Alosa sphaerocephala,,,,,,,
Alosa tanaica,,,,,,,
Alosa vistonica,,,,,,,
Alosa volgensis,,,,,,,
Alphestes afer,,,,,,,
Alphestes immaculatus,,,,,,,
Alphestes multiguttatus,,,,,,,
Alticus arnoldorum,,,,,,,
Alticus kirkii,,,,,,,
Alticus montanoi,,,,,,,
Alticus saliens,,,,,,,
Alticus sertatus,,,,,,,
Alticus simplicirrus,,,,,,,
Altrichthys azurelineatus,,,,,,,
Altrichthys curatus,,,,,,,
Aluterus heudelotii,,,,,,,"['Anous stolidus', 'Sterna fuscata']"
Aluterus monoceros,,,,,,,
Aluterus schoepfii,,,,,,,"['Anous stolidus', 'Sterna fuscata', 'Synodus foetens']"
Aluterus scriptus,410.0,,,,,158.0,"['Coryphaena hippurus', 'Thunnus thynnus']"
Amamiichthys matsubarai,,,,,,,
Amanses scopas,,,,,,,
Amarsipus carlsbergi,,,,,,,
Amatitlania coatepeque,,,,,,,
Amatitlania myrnae,,,,,,,
Amatitlania nigrofasciata,89.3,8.95,11.7,,,35.3,
Amatitlania sajica,,,,,,,
Amazonsprattus scintilla,,,,,,,
Ambassis agassizii,,,,,,,
Ambassis agrammus,,,,,,,
Ambassis ambassis,,,,,,,['Ceryle rudis']
Ambassis buruensis,,,,,,,
Ambassis buton,,,,,,,
Ambassis dussumieri,,,,,,,
Ambassis elongata,,,,,,,
Ambassis gymnocephalus,,,,,,,
Ambassis interrupta,,,,,86.02000000000002,,['Megalops cyprinoides']
Ambassis jacksoniensis,,,,,,,
Ambassis kopsii,,,,,,,
Ambassis macleayi,,,,,,,
Ambassis macracanthus,,,,,,,
Ambassis marianus,,,,,,,
Ambassis miops,,,,,,,
Ambassis nalua,,,,,,,
Ambassis natalensis,,,,,,,['Ceryle rudis']
Ambassis urotaenia,,,,,,,
Ambassis vachellii,,,,,,,
Ambastaia nigrolineata,,,,,,,
Ambastaia sidthimunki,,,,,,,
Ambiserrula jugosa,,,,,,,
Ambloplites ariommus,,,,,,,
Ambloplites cavifrons,,,,,,,
