Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
2.2,24.0,10.9,,,,,Canthigaster pygmaea
3.4,46.0,13.5,,,,104901.0,Canthigaster rostrata
8.03,58.0,7.22,,,,104901.0,Canthigaster solandri
6.725,52.0,7.74,,5.5,7.0,104901.0,Canthigaster valentini
29.0,172.0,6.713333333333334,,9.866666666666667,12.940000000000001,,Capros aper
2.0,24.0,12.0,,3.2,3.9,,Caracanthus maculatus
3047.866666666667,4240.0,3.450333333333333,,,,87145.66666666667,Carangoides bartholomaei
140.0,580.0,4.14,,,,,Carangoides chrysophrys
215.0,1139.0,5.3,,,,,Carangoides equula
6200.0,2934.0,0.473,,,,,Carangoides fulvoguttatus
2305.0,2970.0,1.29,,,,117297.0,Caranx hippos
3200.0,1906.0,0.596,,47.5,,,Caranx ignobilis
9830.0,3713.0,0.484,,73.0,81.5,,Caranx lugubris
2185.23,2045.5,2.2972,,38.425,43.125,,Caranx melampygus
520.0,1155.0,3.205,,27.75,31.75,,Caranx sexfasciatus
13.3,9.3,0.699,,,21.0,,Carapus mourlani
7.52,83.0,11.35,,,,117297.0,Carassius auratus
0.0,0.0,0.0,,,,,Carassius carassius
3630.0,8350.0,2.3,,,,118717.0,Carcharhinus acronotus
5000.0,24792.0,4.96,,,,118717.0,Carcharhinus albimarginatus
25540.0,35280.0,1.38,,,,117392.0,Carcharhinus amblyrhynchos
2190.0,9140.0,4.17,,,,117392.0,Carcharhinus brachyurus
77053.33333333333,49376.666666666664,0.7586666666666666,,,,82089.33333333333,Carcharhinus falciformis
10870.0,18750.0,1.73,,,,27579.0,Carcharhinus isodon
78325.0,48335.0,0.615,,,,72485.5,Carcharhinus leucas
39500.0,22010.0,0.557,,,,118717.0,Carcharhinus limbatus
40000.0,35400.0,0.885,,,,27579.0,Carcharhinus longimanus
7650.0,17930.0,2.34,,,,117392.0,Carcharhinus melanopterus
12000.0,20760.0,1.73,,,,27579.0,Carcharhinus obscurus
16400.0,21860.0,1.33,,,,117392.0,Carcharhinus plumbeus
86652.5,48907.5,0.8862499999999999,,,,117320.75,Carcharias taurus
578635.0,31870.0,0.0605,,,,72485.5,Carcharodon carcharias
90.66666666666667,82.16666666666667,0.9943333333333332,,15.566666666666668,16.866666666666667,,Careproctus reinhardti
110.46666666666665,25.13333333333333,0.233,,,,118521.0,Caspiomyzon wagneri
663.05,819.0,1.24,,,,118717.0,Centroberyx gerrardi
29.75714285714286,164.28571428571428,5.541428571428571,,10.72857142857143,12.485714285714286,,Centrolabrus exoletus
7.0,75.0,10.7,,7.3,8.7,,Centrolabrus melanocercus
955.0,362.75,0.39775,,41.75,49.333333333333336,,Centrolophus niger
1360.0,3160.0,2.32,,,,27579.0,Centrophorus granulosus
2820.0,4310.0,1.53,,,,27579.0,Centrophorus harrissoni
3100.0,3400.0,1.1,,,,118717.0,Centrophorus moluccensis
10750.0,6683.5,0.741,,,,118717.0,Centrophorus squamosus
6.2,35.0,5.65,,5.8,6.7,,Centropogon australis
26.55,141.5,5.665,,8.5,9.4,11740.0,Centropyge bicolor
27.900000000000002,119.66666666666667,4.676666666666666,,8.75,10.6,11740.0,Centropyge bispinosa
10.3,70.425,7.6975,,6.2,6.933333333333334,11740.0,Centropyge fisheri
35.4,162.5,4.655,,9.5,,58320.5,Centropyge flavissima
23.7,139.5,5.88,,8.0,9.4,11740.0,Centropyge heraldi
43.1,169.0,3.935,,9.5,,11740.0,Centropyge multispinis
47.5,144.33333333333334,3.103333333333333,,9.866666666666665,11.6,11740.0,Centropyge potteri
25.75,154.5,6.95,,8.1,8.2,11740.0,Centropyge tibicen
12200.0,5478.0,0.449,,,,118717.0,Centroscymnus coelolepis
1050.0,2830.0,2.7,,,,118717.0,Centroscymnus crepidater
2758.0,3330.0,1.21,,,,118717.0,Centroscymnus owstonii
6513.0,4200.0,0.645,,,,118717.0,Centroscymnus plunketi
1040.0,666.5,0.718,,33.75,40.2,,Cephalopholis argus
82.33333333333333,176.33333333333334,2.9233333333333333,,13.666666666666666,16.766666666666666,,Cephalopholis boenak
140.725,413.25,3.1125,,,,46357.5,Cephalopholis cruentata
145.5,397.5,2.765,,17.0,20.5,65872.0,Cephalopholis fulva
83.0,190.0,2.29,,14.2,16.8,,Cephalopholis hemistiktos
33.5,155.0,4.63,,10.7,13.1,,Cephalopholis leopardus
324.0,367.5,1.7885,,20.55,16.9,,Cephalopholis miniata
97.5,261.75,2.885,,15.0,17.633333333333333,,Cephalopholis urodeta
1250.0,1380.0,1.1,,,,117392.0,Cephaloscyllium isabellum
180.0,570.0,3.17,,,,117392.0,Cephaloscyllium laticeps
25.0,86.5,3.49,,27.0,30.0,,Cepola macrophthalma
3.0,28.2,9.4,,,,,Ceratoscopelus warmingii
385000.0,20700.0,0.054,,,375.0,117389.0,Cetorhinus maximus
1120.0,860.0,0.768,,36.0,41.5,,Cetoscarus bicolor
6.56,26.96,6.2860000000000005,,,11.0,11344.0,Chaenogobius gulosus
140.2,413.0,3.018,,16.5,,11740.0,Chaetodon auriga
58.699999999999996,203.66666666666666,4.053333333333334,,12.0,,11740.0,Chaetodon austriacus
91.0,213.0,2.365,,12.0,,11740.0,Chaetodon baronessa
68.7,270.0,3.93,,,,104901.0,Chaetodon bennetti
18.0,165.5,9.48,,,,65872.0,Chaetodon capistratus
57.3,257.0,4.654999999999999,,12.0,,11740.0,Chaetodon citrinellus
73.25,261.5,5.2,,13.0,,11740.0,Chaetodon collare
53.25,197.5,7.125,,9.25,6.5,11740.0,Chaetodon decussatus
44.93333333333334,263.3333333333333,6.493333333333332,,12.5,,11740.0,Chaetodon dolosus
147.2,412.8,2.826,,16.0,,58320.5,Chaetodon ephippium
120.0,419.6666666666667,4.053333333333334,,17.0,,11740.0,Chaetodon fasciatus
86.89999999999999,390.3333333333333,5.483333333333333,,13.5,,11740.0,Chaetodon flavirostris
32.675,180.75,5.8025,,10.0,,11740.0,Chaetodon kleinii
151.25,496.75,3.3350000000000004,,17.0,,58320.5,Chaetodon lunula
43.75,249.5,6.790000000000001,,12.0,,11740.0,Chaetodon melannotus
33.800000000000004,193.0,6.140000000000001,,11.0,,11740.0,Chaetodon mertensii
55.68333333333333,215.66666666666666,4.003333333333333,,13.0,,11740.0,Chaetodon miliaris
32.03333333333333,181.0,5.703333333333333,,10.0,,11740.0,Chaetodon multicinctus
72.05,362.0,5.25,,,,65872.0,Chaetodon ocellatus
