,Eye_Pigment_Records
326,https://www.fishbase.de/physiology/visionlist.php?id=525
327,https://www.fishbase.de/physiology/visionlist.php?id=13025
328,https://www.fishbase.de/physiology/visionlist.php?id=4926
329,https://www.fishbase.de/physiology/visionlist.php?id=4293
330,https://www.fishbase.de/physiology/visionlist.php?id=1181
331,https://www.fishbase.de/physiology/visionlist.php?id=1235
332,https://www.fishbase.de/physiology/visionlist.php?id=6649
333,https://www.fishbase.de/physiology/visionlist.php?id=4887
334,https://www.fishbase.de/physiology/visionlist.php?id=1356
335,https://www.fishbase.de/physiology/visionlist.php?id=1357
336,https://www.fishbase.de/physiology/visionlist.php?id=4352
337,https://www.fishbase.de/physiology/visionlist.php?id=1234
338,https://www.fishbase.de/physiology/visionlist.php?id=4281
339,https://www.fishbase.de/physiology/visionlist.php?id=16716
340,https://www.fishbase.de/physiology/visionlist.php?id=1806
341,https://www.fishbase.de/physiology/visionlist.php?id=8121
342,https://www.fishbase.de/physiology/visionlist.php?id=1709
343,https://www.fishbase.de/physiology/visionlist.php?id=11185
344,https://www.fishbase.de/physiology/visionlist.php?id=1361
345,https://www.fishbase.de/physiology/visionlist.php?id=4829
346,https://www.fishbase.de/physiology/visionlist.php?id=10105
347,https://www.fishbase.de/physiology/visionlist.php?id=7771
348,https://www.fishbase.de/physiology/visionlist.php?id=7770
349,https://www.fishbase.de/physiology/visionlist.php?id=4676
350,https://www.fishbase.de/physiology/visionlist.php?id=143
351,https://www.fishbase.de/physiology/visionlist.php?id=2693
352,https://www.fishbase.de/physiology/visionlist.php?id=269
353,https://www.fishbase.de/physiology/visionlist.php?id=368
354,https://www.fishbase.de/physiology/visionlist.php?id=1365
355,https://www.fishbase.de/physiology/visionlist.php?id=481
356,https://www.fishbase.de/physiology/visionlist.php?id=11187
357,https://www.fishbase.de/physiology/visionlist.php?id=3590
358,https://www.fishbase.de/physiology/visionlist.php?id=5995
359,https://www.fishbase.de/physiology/visionlist.php?id=5064
360,https://www.fishbase.de/physiology/visionlist.php?id=5065
361,https://www.fishbase.de/physiology/visionlist.php?id=3231
362,https://www.fishbase.de/physiology/visionlist.php?id=3232
363,https://www.fishbase.de/physiology/visionlist.php?id=3233
364,https://www.fishbase.de/physiology/visionlist.php?id=5950
365,https://www.fishbase.de/physiology/visionlist.php?id=6018
366,https://www.fishbase.de/physiology/visionlist.php?id=5951
367,https://www.fishbase.de/physiology/visionlist.php?id=1266
368,https://www.fishbase.de/physiology/visionlist.php?id=1370
369,https://www.fishbase.de/physiology/visionlist.php?id=479
